,F.C.L.a._left.surface_native,F.C.L.a._right.surface_native,F.C.L.p._left.surface_native,F.C.L.p._right.surface_native,F.C.L.r.ant._left.surface_native,F.C.L.r.ant._right.surface_native,F.C.L.r.asc._left.surface_native,F.C.L.r.asc._right.surface_native,F.C.L.r.diag._left.surface_native,F.C.L.r.diag._right.surface_native,F.C.L.r.retroC.tr._left.surface_native,F.C.L.r.retroC.tr._right.surface_native,F.C.L.r.sc.ant._left.surface_native,F.C.L.r.sc.ant._right.surface_native,F.C.L.r.sc.post._left.surface_native,F.C.L.r.sc.post._right.surface_native,F.C.M.ant._left.surface_native,F.C.M.ant._right.surface_native,F.C.M.post._left.surface_native,F.C.M.post._right.surface_native,F.Cal.ant..Sc.Cal._left.surface_native,F.Cal.ant..Sc.Cal._right.surface_native,F.Coll._left.surface_native,F.Coll._right.surface_native,F.I.P.Po.C.inf._left.surface_native,F.I.P.Po.C.inf._right.surface_native,F.I.P._left.surface_native,F.I.P._right.surface_native,F.I.P.r.int.1_left.surface_native,F.I.P.r.int.1_right.surface_native,F.I.P.r.int.2_left.surface_native,F.I.P.r.int.2_right.surface_native,F.P.O._left.surface_native,F.P.O._right.surface_native,INSULA_left.surface_native,INSULA_right.surface_native,OCCIPITAL_left.surface_native,OCCIPITAL_right.surface_native,S.C.LPC._left.surface_native,S.C.LPC._right.surface_native,S.C._left.surface_native,S.C._right.surface_native,S.C.sylvian._left.surface_native,S.C.sylvian._right.surface_native,S.Call._left.surface_native,S.Call._right.surface_native,S.Cu._left.surface_native,S.Cu._right.surface_native,S.F.inf._left.surface_native,S.F.inf._right.surface_native,S.F.inf.ant._left.surface_native,S.F.inf.ant._right.surface_native,S.F.int._left.surface_native,S.F.int._right.surface_native,S.F.inter._left.surface_native,S.F.inter._right.surface_native,S.F.marginal._left.surface_native,S.F.marginal._right.surface_native,S.F.median._left.surface_native,S.F.median._right.surface_native,S.F.orbitaire._left.surface_native,S.F.orbitaire._right.surface_native,S.F.polaire.tr._left.surface_native,S.F.polaire.tr._right.surface_native,S.F.sup._left.surface_native,S.F.sup._right.surface_native,S.GSM._left.surface_native,S.Li.ant._left.surface_native,S.Li.ant._right.surface_native,S.Li.post._left.surface_native,S.Li.post._right.surface_native,S.O.T.lat.ant._left.surface_native,S.O.T.lat.ant._right.surface_native,S.O.T.lat.int._left.surface_native,S.O.T.lat.int._right.surface_native,S.O.T.lat.med._left.surface_native,S.O.T.lat.med._right.surface_native,S.O.T.lat.post._left.surface_native,S.O.T.lat.post._right.surface_native,S.O.p._left.surface_native,S.O.p._right.surface_native,S.Olf._left.surface_native,S.Olf._right.surface_native,S.Or._left.surface_native,S.Or._right.surface_native,S.Pa.int._left.surface_native,S.Pa.int._right.surface_native,S.Pa.sup._left.surface_native,S.Pa.sup._right.surface_native,S.Pa.t._left.surface_native,S.Pa.t._right.surface_native,S.Pe.C.inf._left.surface_native,S.Pe.C.inf._right.surface_native,S.Pe.C.inter._left.surface_native,S.Pe.C.inter._right.surface_native,S.Pe.C.marginal._left.surface_native,S.Pe.C.marginal._right.surface_native,S.Pe.C.median._left.surface_native,S.Pe.C.median._right.surface_native,S.Pe.C.sup._left.surface_native,S.Pe.C.sup._right.surface_native,S.Po.C.sup._left.surface_native,S.Po.C.sup._right.surface_native,S.R.inf._left.surface_native,S.R.inf._right.surface_native,S.Rh._left.surface_native,S.Rh._right.surface_native,S.T.i.ant._left.surface_native,S.T.i.ant._right.surface_native,S.T.i.post._left.surface_native,S.T.i.post._right.surface_native,S.T.pol._left.surface_native,S.T.pol._right.surface_native,S.T.s._left.surface_native,S.T.s._right.surface_native,S.T.s.ter.asc.ant._left.surface_native,S.T.s.ter.asc.ant._right.surface_native,S.T.s.ter.asc.post._left.surface_native,S.T.s.ter.asc.post._right.surface_native,S.p.C._left.surface_native,S.p.C._right.surface_native,S.s.P._left.surface_native,S.s.P._right.surface_native
S.F.int._left.surface_native,0,0,0,0,0,0,0,0.76331,0,0,0.940985,0,0,0,0,0,0,0.994838,0,0,0,0,0.981222,0.883464,0,0.602462,0,0.348637,0,0,0,0,0,0,0,0,0.985667,0.963727,0,0,0,0.979853,0.99314,0.987109,0,0,0,0,0.785261,0,0,0,0,0.999938,0,0,0,0,0.767803,0,0,0,0,0,0,0,0.150676,0.893158,0,0,0,0,0.999984,0,0,0,0,0.983361,0,0,0,0.658534,0,0.69773,0,0,0,0.881,0,0.989829,0,0.708437,0,0,0,0,0,0,0.99948,0.999955,0,0.844202,0,0.953765,0,0,0,0,0.576157,0,0.416125,0,0,0,0,0,0,0,0,0,0,0,0
S.F.int._right.surface_native,0,0,0,0.98304,0,0.626795,0,0.628718,0,0,0.966967,0.906076,0,0,0,0,0,0.939087,0,0,0,0,0.99996,0.948613,0.833274,0.841296,0,0.987551,0,0,0,0,0,0,0,0,0.701074,0,0.668607,0,0,0,0.98,0.993459,0,0,0,0,0,0,0,0,0.999938,0,0,0,0,0,0.784022,0.724645,0,0,0,0,0,0.97711,0.737078,0.885001,0,0,0,0.700641,0.998644,0,0,0,0,0.887799,0,0,0,0.83504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709963,0,0,0.804066,0.792646,0,0,0,0,0.978777,0,0.636335,0,0,0.888781,0,0,0,0,0.930275,0,0.899259,0,0
S.F.inter._left.surface_native,0,0,0,0.725628,0,0.924858,0,0,0,0,0,0.992682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842232,0.987515,0,0,0,0.970434,0,0.974007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.584307,0,0,0,0,0,0,0.760215,0,0,0,0.989898,0,0,0,0.905214,0.883269,0,0,0,0,0.735554,0,0,0.871793,0.985197,0,0,0,0,0,0,0.601335,0.989397,0,0.425091,0.608075,0.991289,0,0,0,0,0,0,0,0,0,0.465738,0,0,0,0,0,0,0.986885,0.813528,0.931368
S.F.inter._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.F.marginal._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.F.marginal._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.F.median._left.surface_native,0,0,0,0.864431,0,0,0,0.982652,0,0,0.861452,0.781493,0,0,0,0,0,0.969651,0,0,0,0,0.964201,0.365089,0,0,0.0528021,0,0,0,0,0.979992,0,0.981107,0,0,0.984381,0.999999,0.821704,0,0.691646,0,0.59972,0,0,0.828219,0,0,0,0,0,0,0.767803,0.784022,0,0,0,0,0,0.885107,0,0,0,0,0,0,0,0.0180542,0,0,0,0,0.863978,0.671784,0,0,0,0,0,0,0,0,0,0,0.981981,0,0,0.865901,0,0,0,0.91737,0,0,0,0,0,0,0.798432,0,0,0.98,0.985745,0,0,0,0,0,0.985528,0,0,0,0,0.972555,0.985267,0,0,0,0.992579,0,0,0.991046,0.565437
S.F.median._right.surface_native,0,0,0,0.992801,0,0,0,0.983428,0,0,0.983812,0,0,0,0,0,0,0.213898,0,0,0,0,0.977344,0,0,0.848511,0,0.998257,0.954366,0,0,0,0,0.976141,0,0,0.696742,0,0.786727,0,0.787831,0.92145,0,0.986908,0,0,0,0,0.574124,0,0,0,0,0.724645,0.98,0,0,0,0.885107,0,0,0,0,0,0,0,0.980453,0,0,0,0,0.783624,0,0,0,0,0,0.981188,0,0,0,0,0.922954,0.888652,0,0,0,0,0,0,0.993372,0.762925,0,0,0,0,0,0,0.869897,0.785306,0,0.552049,0,0.935322,0,0,0,0.962397,0.858511,0,0.914585,0,0.742916,0,0.906159,0,0,0,0,0,0,0.910785,0
S.F.orbitaire._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.F.orbitaire._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.F.polaire.tr._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
